Date,ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume,VOLUME
2020-01-01,PK0029801013,CHCC,Cherat Cement Co. Ltd. ,53.82,0.31,106862271,5751327425.22,194295038,10456958945.16,368500.0,
2020-01-01,PK0028001011,COLG,Colgate Palmolive (Pak) Ltd. ,2400.0,0.74,5754592,13811020800.0,57545920,138110208000.0,160.0,
2020-01-01,PK0017501013,DAWH,Dawood Hercules Corporation Ltd. ,157.64,2.65,312836625,49315565565.0,481287116,75870100966.24,111800.0,
2020-01-01,PK0099001023,DCR,Dolmen City REIT. ,12.64,0.38,555925000,7026892000.0,2223700000,28107568000.0,29000.0,
2020-01-01,PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,75.23,0.89,219059559,16479850623.57,438119097,32959699667.31,1501000.0,
2020-01-01,PK0099701010,EFERT,Engro Fertilizers Limited. ,73.86,2.39,600884719,44381345345.34,1335299375,98625211837.5,1039500.0,
2020-01-01,PK0000201019,EFUG,E. F. U. Gen Insurance Ltd. ,110.3,0.42,70000000,7721000000.0,200000000,22060000000.0,0.0,
2020-01-01,PK0012101017,ENGRO,Engro Corporation Limited. ,354.28,6.04,316889777,112267710195.56,576163230,204123109124.4,231900.0,
2020-01-01,PK0092201018,EPCL,Engro Polymer & Chemicals Ltd. ,33.8,0.58,318123167,10752563044.6,908923333,30721608655.4,5068000.0,
2020-01-01,PK0070501017,FABL,Faysal Bank Limited. ,19.24,0.47,455308958,8760144351.92,1517696526,29200481160.24,512000.0,
2020-01-01,PK0091601010,FATIMA,Fatima Fertilizer Co Ltd. ,26.9,0.46,315000000,8473500000.0,2100000000,56490000000.0,172000.0,
2020-01-01,PK0074501013,FCCL,Fauji Cement Co Ltd. ,16.02,0.65,758898264,12157550189.28,1379815025,22104636700.5,2936000.0,
2020-01-01,PK0096501017,FCEPL,Frieslandcampina Engro Pakistan Ltd. ,81.35,0.34,76659608,6236259110.8,766596075,62362590701.25,330500.0,
2020-01-01,PK0074601011,FFBL,Fauji Fertilizer Bin Qasim Ltd. ,20.51,0.36,326938500,6705508635.0,934110000,19158596100.0,2981500.0,
2020-01-01,PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,102.35,3.85,699731036,71617471534.6,1272238147,130213574345.45,877600.0,
2020-01-01,PK0029901011,FHAM,First Habib Mod. ,9.7,0.09,171360000,1662192000.0,201600000,1955520000.0,1000.0,
2020-01-01,PK0021001018,FML,Feroze1888 Mills Ltd. ,92.0,0.28,56520145,5199853340.0,376800968,34665689056.0,2700.0,
2020-01-01,PK0015201012,GATM,Gul Ahmed Textile Mills Ltd. ,44.85,0.31,128338390,5755976791.5,427794630,19186589155.5,480500.0,
2020-01-01,PK0064301010,GHGL,Ghani Glass Ltd. ,50.0,0.44,162462800,8123140000.0,541542665,27077133250.0,44000.0,
2020-01-01,PK0001301016,GLAXO,Glaxo SmithKline Pakistan Ltd. ,165.97,0.46,51704105,8581330306.85,318467278,52856014129.66,106800.0,
2020-01-01,PK0112101016,GSKCH,Glaxo SmithKline Healthcare Pak Ltd. ,254.09,0.21,15491483,3936230915.47,117054508,29742379937.72,10600.0,
2020-01-01,PK0108001014,HASCOL,Hascol Petroleum Ltd. ,28.24,0.11,69692238,1968108801.12,199120680,5623168003.2,5563500.0,
2020-01-01,PK0085101019,HBL,Habib Bank Limited. ,162.92,6.43,733426254,119489805301.68,1466852508,238979610603.36,675200.0,
2020-01-01,PK0064901017,HCAR,Honda Atlas Cars (Pak) Ltd. ,217.96,0.33,28560000,6224937600.0,142800000,31124688000.0,87200.0,
2020-01-01,PK0024701010,HGFA,HBL Growth Fund ,11.34,0.16,263923239,2992889530.26,283500000,3214890000.0,18500.0,
2020-01-01,PK0055401019,HMB,Habib Metropolitn Bank Limited. ,36.35,0.92,471524166,17139903434.1,1047831480,38088674298.0,0.0,
2020-01-01,PK0065001015,HUBC,Hub Power Company Limited. ,92.93,4.86,972865790,90408417864.7,1297154400,120544558392.0,555500.0,
2020-01-01,PK0070801011,IBFL,Ibrahim Fibre Limited. ,60.0,0.05,15525350,931521000.0,310506995,18630419700.0,0.0,
2020-01-01,PK0003101018,ICI,ICI Pakistan Limited. ,679.43,0.51,13853858,9412726740.94,92359050,62751509341.5,685200.0,
2020-01-01,PK0006901018,IDYM,Indus Dyeing & Manufacturing. ,586.99,0.09,2711060,1591365109.4,18073731,10609099359.69,100.0,
2020-01-01,PK0032601012,IGIHL,IGI Holdings Limited. ,204.53,0.39,35657638,7293056700.14,142630550,29172226391.5,30200.0,
2020-01-01,PK0054501017,INDU,Indus Motor Company Ltd. ,1185.99,0.86,13426589,15923800288.11,78600000,93218814000.0,480.0,
2020-01-01,PK0028501010,INIL,International Industries Ltd. ,112.97,0.36,59346846,6704413192.62,131881860,14898693724.2,1324100.0,
