Date,ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume,VOLUME
2020-01-01,PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,75.23,1.27,219059559,16479850623.57,438119097,32959699667.31,1501000.0,
2020-01-01,PK0099701010,EFERT,Engro Fertilizers Limited. ,73.86,3.41,600884719,44381345345.34,1335299375,98625211837.5,1039500.0,
2020-01-01,PK0012101017,ENGRO,Engro Corporation Limited. ,354.28,8.63,316889777,112267710195.56,576163230,204123109124.4,231900.0,
2020-01-01,PK0092201018,EPCL,Engro Polymer & Chemicals Ltd. ,33.8,0.83,318123167,10752563044.6,908923333,30721608655.4,5068000.0,
2020-01-01,PK0074501013,FCCL,Fauji Cement Co Ltd. ,16.02,0.93,758898264,12157550189.28,1379815025,22104636700.5,2936000.0,
2020-01-01,PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,102.35,5.5,699731036,71617471534.6,1272238147,130213574345.45,877600.0,
2020-01-01,PK0085101019,HBL,Habib Bank Limited. ,162.92,9.18,733426254,119489805301.68,1466852508,238979610603.36,675200.0,
2020-01-01,PK0065001015,HUBC,Hub Power Company Limited. ,92.93,6.95,972865790,90408417864.7,1297154400,120544558392.0,555500.0,
2020-01-01,PK0083101011,KAPCO,Kot Addu Power Company. ,31.48,1.1,455655113,14344022957.24,880253228,27710371617.44,1123500.0,
2020-01-01,PK0077901012,LOTCHEM,Lotte Chemical Pakistan Ltd. ,14.18,0.41,378551802,5367864552.36,1514207200,21471458096.0,1722000.0,
2020-01-01,PK0071501016,LUCK,Lucky Cement Limited. ,436.98,4.34,129350000,56523363000.0,323375000,141308407500.0,461600.0,
2020-01-01,PK0066301018,MARI,Mari Petroleum Company Ltd. ,1316.44,2.7,26680500,35123277420.0,133402500,175616387100.0,29800.0,
2020-01-01,PK0055601014,MCB,MCB Bank Limited. ,208.82,6.66,414771002,86612480637.64,1185060006,247464230452.92,1302800.0,
2020-01-01,PK0077401013,MEBL,Meezan Bank Limited. ,96.33,2.38,321527906,30972783184.98,1286111589,123891129368.37,115500.0,
2020-01-01,PK0066201010,MLCF,Maple Leaf Cement Factory Ltd. ,23.69,0.49,267165300,6329145957.0,593700666,14064768777.54,2449000.0,
2020-01-01,PK0009801017,MTL,Millat Tractors Limited. ,707.41,1.22,22423101,15862325878.41,49829112,35249612119.92,12500.0,
2020-01-01,PK0078001010,NBP,National Bank Of Pakistan. ,44.45,1.73,506885758,22531071943.1,2127512862,94567946715.9,1867000.0,
2020-01-01,PK0005501017,NML,Nishat Mills Ltd. ,107.64,1.31,158219932,17030793480.48,351599848,37846207638.72,545000.0,
2020-01-01,PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,142.92,7.08,645139260,92203303039.2,4300928400,614688686928.0,784400.0,
2020-01-01,PK0034601010,PAEL,Pak Elektron Ltd. ,28.23,0.54,248840743,7024774174.89,497681485,14049548321.55,8579500.0,
2020-01-01,PK0023901017,POL,Pakistan Oilfields Limited. ,462.23,4.62,130069270,60121918672.1,283855104,131206344721.92,280600.0,
2020-01-01,PK0081801018,PPL,Pakistan Petroleum Limited. ,138.27,7.08,666090089,92100276606.03,2720967548,376228182861.96,1287600.0,
2020-01-01,PK0022501016,PSO,Pakistan State Oil Co Ltd. ,195.5,3.17,211262985,41301913567.5,469473300,91782030150.0,1274300.0,
2020-01-01,PK0061701014,SEARL,The Searle Company Ltd. ,193.07,1.42,95591360,18455823875.2,212425272,41012947265.04,808000.0,
2020-01-01,PK0078701015,BAFL,Bank Alfalah Ltd. ,46.74,2.55,710866048,33225879083.52,1777165119,83064697662.06,1128000.0,
2020-01-01,PK0051601018,BAHL,Bank Al-Habib Ltd. ,77.33,4.29,722426520,55865242791.6,1111425419,85946527651.27,257500.0,
