Date,SYMBOL,COMPANY,PRICE,IDX WT %,VOLUME
2020-01-01,BAFL,Bank Alfalah Limited,46.74,2.55,1128000.0
2020-01-01,BAHL,Bank Al-Habib Ltd.,77.33,4.29,257500.0
2020-01-01,BOP,Bank Of Punjab.,11.73,1.01,7507000.0
2020-01-01,DGKC,D. G. Khan Cement Co. Ltd.,75.23,1.27,1501000.0
2020-01-01,EFERT,Engro Fertilizers Limited,73.86,3.41,1039500.0
2020-01-01,ENGRO,Engro Corporation Limited.,354.28,8.63,231900.0
2020-01-01,EPCL,Engro Polymer & Chemicals Ltd.,33.8,0.83,5068000.0
2020-01-01,FCCL,Fauji Cement Company Limited,16.02,0.93,2936000.0
2020-01-01,FFC,Fauji Fertilizer Company Limited,102.35,5.5,877600.0
2020-01-01,HBL,Habib Bank Limited,162.92,9.18,675200.0
2020-01-01,HUBC,The Hub Power Company Limited,92.93,6.95,555500.0
2020-01-01,KAPCO,Kot Addu Power Company.,31.48,1.1,1123500.0
2020-01-01,LOTCHEM,Lotte Chemical Pakistan Ltd.,14.18,0.41,1722000.0
2020-01-01,LUCK,Lucky Cement Limited.,436.98,4.34,461600.0
2020-01-01,MARI,Mari Petroleum Company Ltd.,1316.44,2.7,29800.0
2020-01-01,MCB,MCB Bank Limited,208.82,6.66,1302800.0
2020-01-01,MEBL,Meezan Bank Limited,96.33,2.38,115500.0
2020-01-01,MLCF,Maple Leaf Cement Factory Ltd.,23.69,0.49,2449000.0
2020-01-01,MTL,Millat Tractors Limited,707.41,1.22,12500.0
2020-01-01,NBP,National Bank Of Pakistan.,44.45,1.73,1867000.0
2020-01-01,NML,Nishat Mills Ltd.,107.64,1.31,545000.0
2020-01-01,OGDC,Oil & Gas Development Company Limited,142.92,7.08,784400.0
2020-01-01,PAEL,Pak Elektron Limited,28.23,0.54,8579500.0
2020-01-01,POL,Pakistan Oilfields Limited,462.23,4.62,280600.0
2020-01-01,PPL,Pakistan Petroleum Limited.,138.27,7.08,1287600.0
2020-01-01,PSO,Pakistan State Oil Co Ltd.,195.5,3.17,1274300.0
2020-01-01,SEARL,The Searle Company Ltd.,193.07,1.42,808000.0
2020-01-01,SNGP,Sui Northern Gas Pipelines Limited,77.11,1.69,499500.0
2020-01-01,TRG,TRG Pakistan Ltd.,25.77,1.07,9677500.0
2020-01-01,UBL,United Bank Limited,171.24,6.44,572600.0
2020-01-02,BAFL,Bank Alfalah Limited,48.34,2.57,4230000.0
2020-01-02,BAHL,Bank Al-Habib Ltd.,80.77,4.36,1067000.0
2020-01-02,BOP,Bank Of Punjab.,12.04,1.0,27923000.0
2020-01-02,DGKC,D. G. Khan Cement Co. Ltd.,78.39,1.28,5511500.0
2020-01-02,EFERT,Engro Fertilizers Limited,74.01,3.32,3035000.0
2020-01-02,ENGRO,Engro Corporation Limited.,366.0,8.67,2606900.0
2020-01-02,EPCL,Engro Polymer & Chemicals Ltd.,33.88,0.81,4288000.0
2020-01-02,FCCL,Fauji Cement Company Limited,16.45,0.93,7473500.0
2020-01-02,FFC,Fauji Fertilizer Company Limited,102.46,5.36,654300.0
2020-01-02,HBL,Habib Bank Limited,168.1,9.21,3173800.0
2020-01-02,HUBC,The Hub Power Company Limited,97.57,7.09,7051000.0
2020-01-02,KAPCO,Kot Addu Power Company.,31.78,1.08,3753500.0
2020-01-02,LOTCHEM,Lotte Chemical Pakistan Ltd.,14.53,0.41,6939500.0
2020-01-02,LUCK,Lucky Cement Limited.,458.82,4.43,949200.0
2020-01-02,MARI,Mari Petroleum Company Ltd.,1326.39,2.64,42500.0
2020-01-02,MCB,MCB Bank Limited,213.55,6.62,1029200.0
2020-01-02,MEBL,Meezan Bank Limited,97.57,2.34,733000.0
2020-01-02,MLCF,Maple Leaf Cement Factory Ltd.,24.01,0.48,10017000.0
2020-01-02,MTL,Millat Tractors Limited,711.45,1.19,40300.0
2020-01-02,NBP,National Bank Of Pakistan.,44.62,1.69,4496500.0
