date,oil_return_monthly,usdpkr_return_monthly,interest_rate_end,cpi_yoy
2021-09-30,0.07303092394471965,0.03568137929327209,7.25,9.0
2021-11-30,-0.1787252816834537,0.022979986640774226,8.75,11.5
2021-12-31,0.09727920371486287,-0.004812780741840095,9.75,12.3
2022-04-30,0.013164747091211106,0.014760624277473319,12.25,13.4
2022-05-31,0.11642040210576823,0.03908467533023829,13.75,13.8
2022-07-31,-0.042707317354376176,0.06650895187359125,15.0,24.9
2022-11-30,-0.10438848773210903,0.025949828721057416,16.0,23.8
2023-01-31,-0.016667052485211723,0.009684871467452819,17.0,27.6
2023-03-31,-0.05035892293516519,0.16934948066176322,20.0,35.4
2023-04-30,-0.0028874541434932913,-0.02982703744710712,21.0,36.4
2023-06-30,0.030362863730117987,0.0009161704717792988,22.0,29.4
2024-06-30,0.05702907987564812,0.0016536654018286024,20.5,12.6
2024-07-31,-0.0681170338079548,-6.544244313122505e-16,19.5,11.1
2024-09-30,-0.09344643542185269,0.000430972568084552,17.5,6.9
2024-11-30,-0.0030116381421309395,-0.004171167500424039,15.0,4.9
2024-12-31,0.023039371158554242,0.0009724298906069568,13.0,4.1
2025-01-31,0.02800711460041062,0.0005398305063342832,12.0,2.4
2025-05-31,0.012281684845870677,0.0015717657018758505,11.0,3.5
2025-12-31,-0.037892481719275534,-0.00402587073131303,10.5,5.6
