,count,mean,std,min,1%,5%,50%,95%,99%,max,skew,kurtosis
idx_total_volume,1300.0,48458345.68923077,62181799.39359127,0.0,0.0,0.0,32636712.0,170186335.54999998,269210414.8099999,388935220.0,1.6883985023870405,3.491136636869725
idx_n_stocks,1300.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0
idx_ff_mcap_total,1300.0,1763974685243.9788,866071335591.693,944773453132.62,971565934651.8717,1000449337682.2615,1325686538127.8198,3578177117859.4653,3986951682447.95,4093390569041.91,1.1537071606844205,-0.011385254721519633
idx_log_return,1300.0,0.0007359560669047484,0.01394988074695778,-0.1024135541021557,-0.03713712562940891,-0.019038870776134028,0.0006729447902512,0.019572775002092882,0.04182180371100783,0.0932446009023641,0.08549907078229271,8.229673063713928
idx_rolling_vol_30d,1300.0,0.1963850915802602,0.09457365463054271,0.0870575515593182,0.09028448978729002,0.10473852103943271,0.17725173532610605,0.3865543219442595,0.6045054254364643,0.6495527361632446,2.243322430146782,6.411696230256075
oil_price,1300.0,79.22486923076923,13.053405929963898,51.09,55.90989999999999,62.4785,77.045,107.35499999999999,119.5121,127.98,0.9922628529059945,1.1711192924214986
oil_log_return,1300.0,-0.001205868421207386,0.021470044894688897,-0.0842871363890518,-0.048002783631102344,-0.03138823178675794,-0.00235195572608715,0.03467400917803779,0.05912203530601444,0.1410833338595389,0.7311194731284278,3.327096134225104
usdpkr,1300.0,241.14949230769233,50.93857880953718,152.6,153.08950000000002,157.089,278.13,286.932,299.8933,307.1,-0.6268515692542652,-1.3432196996159296
usdpkr_log_return,1300.0,0.0004097569500172881,0.004321241434787517,-0.0474395896357488,-0.009560893845147562,-0.003920515767101,5.7357649751256406e-05,0.0063165265163764,0.01318318997665934,0.0311109770062232,-1.0303675685407883,32.562415963812086
interest_rate,1300.0,14.262884615384616,5.237707606582245,7.25,7.25,7.25,13.0,22.0,22.0,22.0,0.2687172276738657,-1.3319940570493125
cpi_yoy,1300.0,14.797461538461539,10.397222404854574,0.3,0.3,2.4,11.5,31.5,38.0,38.0,0.574096139147721,-1.0037976883522655
