,idx_total_volume,idx_n_stocks,idx_ff_mcap_total,idx_log_return,idx_rolling_vol_30d,oil_price,oil_log_return,usdpkr,usdpkr_log_return,interest_rate,cpi_yoy
idx_total_volume,1.0,,0.30578324101543913,-0.007303603284560738,0.17457113383578818,-0.19381173402090757,-0.12497328476918972,-0.31290239650959684,0.012904359578605772,-0.5021148051942025,-0.23653726350465124
idx_n_stocks,,,,,,,,,,,
idx_ff_mcap_total,0.30578324101543913,,1.0,0.03984538735999359,0.36109350362984083,-0.5444300948225893,-0.07275191534818207,0.5001612044828316,-0.08470555165294509,-0.3015530234738598,-0.6535211421685946
idx_log_return,-0.007303603284560738,,0.03984538735999359,1.0,0.012037976603904902,-0.039744928161257326,-0.01579586668823417,0.06762299974807155,-0.005294123843995752,0.046247828293014756,-0.005367805625834384
idx_rolling_vol_30d,0.17457113383578818,,0.36109350362984083,0.012037976603904902,1.0,-0.05192895416311607,-0.1656110984726556,0.21320921775054003,-0.01517676494855147,-0.11979543414703188,-0.23000644523830846
oil_price,-0.19381173402090757,,-0.5444300948225893,-0.039744928161257326,-0.05192895416311607,1.0,0.09164593853240517,-0.21959365082357044,0.07785147331814957,0.29954189167440626,0.429981504741449
oil_log_return,-0.12497328476918972,,-0.07275191534818207,-0.01579586668823417,-0.1656110984726556,0.09164593853240517,1.0,-0.004909928369919362,0.02684073478302529,0.056487812269940284,0.04731069582969909
usdpkr,-0.31290239650959684,,0.5001612044828316,0.06762299974807155,0.21320921775054003,-0.21959365082357044,-0.004909928369919362,1.0,-0.0699782979742415,0.6298463370464594,0.11473466885268051
usdpkr_log_return,0.012904359578605772,,-0.08470555165294509,-0.005294123843995752,-0.01517676494855147,0.07785147331814957,0.02684073478302529,-0.0699782979742415,1.0,-0.01363690321654157,0.05998683948786092
interest_rate,-0.5021148051942025,,-0.3015530234738598,0.046247828293014756,-0.11979543414703188,0.29954189167440626,0.056487812269940284,0.6298463370464594,-0.01363690321654157,1.0,0.7299837271668016
cpi_yoy,-0.23653726350465124,,-0.6535211421685946,-0.005367805625834384,-0.23000644523830846,0.429981504741449,0.04731069582969909,0.11473466885268051,0.05998683948786092,0.7299837271668016,1.0
