,idx_total_volume,idx_n_stocks,idx_ff_mcap_total,idx_log_return,idx_rolling_vol_30d,oil_price,oil_log_return,usdpkr,usdpkr_log_return,interest_rate,cpi_yoy,gold_price,gold_log_return
idx_total_volume,1.0,,0.30578324101543913,-0.007303603284560738,0.17457113383578818,-0.19381173402090757,-0.12497328476918972,-0.31290239650959684,0.012904359578605772,-0.5021148051942025,-0.23653726350465124,0.35936145624192195,0.004882839324909756
idx_n_stocks,,,,,,,,,,,,,
idx_ff_mcap_total,0.30578324101543913,,1.0,0.03984538735999359,0.36109350362984083,-0.5444300948225893,-0.07275191534818207,0.5001612044828316,-0.08470555165294509,-0.3015530234738598,-0.6535211421685946,0.9613948500258145,0.07620649916618011
idx_log_return,-0.007303603284560738,,0.03984538735999359,1.0,0.012037976603904902,-0.039744928161257326,-0.01579586668823417,0.06762299974807155,-0.005294123843995752,0.046247828293014756,-0.005367805625834384,-0.011630455189232189,0.056292465575639945
idx_rolling_vol_30d,0.17457113383578818,,0.36109350362984083,0.012037976603904902,1.0,-0.05192895416311607,-0.1656110984726556,0.21320921775054003,-0.01517676494855147,-0.11979543414703188,-0.23000644523830846,0.4887894984834974,-0.027551039817873
oil_price,-0.19381173402090757,,-0.5444300948225893,-0.039744928161257326,-0.05192895416311607,1.0,0.09164593853240517,-0.21959365082357044,0.07785147331814957,0.29954189167440626,0.429981504741449,-0.4468290176974881,-0.03353412973721918
oil_log_return,-0.12497328476918972,,-0.07275191534818207,-0.01579586668823417,-0.1656110984726556,0.09164593853240517,1.0,-0.004909928369919362,0.02684073478302529,0.056487812269940284,0.04731069582969909,-0.1318780172001826,-0.04521458444461099
usdpkr,-0.31290239650959684,,0.5001612044828316,0.06762299974807155,0.21320921775054003,-0.21959365082357044,-0.004909928369919362,1.0,-0.0699782979742415,0.6298463370464594,0.11473466885268051,0.5580180027305734,0.06783586618752424
usdpkr_log_return,0.012904359578605772,,-0.08470555165294509,-0.005294123843995752,-0.01517676494855147,0.07785147331814957,0.02684073478302529,-0.0699782979742415,1.0,-0.01363690321654157,0.05998683948786092,-0.08173400108310273,-0.05734537587707755
interest_rate,-0.5021148051942025,,-0.3015530234738598,0.046247828293014756,-0.11979543414703188,0.29954189167440626,0.056487812269940284,0.6298463370464594,-0.01363690321654157,1.0,0.7299837271668016,-0.17291821582986186,0.01500065665814731
cpi_yoy,-0.23653726350465124,,-0.6535211421685946,-0.005367805625834384,-0.23000644523830846,0.429981504741449,0.04731069582969909,0.11473466885268051,0.05998683948786092,0.7299837271668016,1.0,-0.5188607583963291,-0.02720709308835031
gold_price,0.35936145624192195,,0.9613948500258145,-0.011630455189232189,0.4887894984834974,-0.4468290176974881,-0.1318780172001826,0.5580180027305734,-0.08173400108310273,-0.17291821582986186,-0.5188607583963291,1.0,0.0794854962246899
gold_log_return,0.004882839324909756,,0.07620649916618011,0.056292465575639945,-0.027551039817873,-0.03353412973721918,-0.04521458444461099,0.06783586618752424,-0.05734537587707755,0.01500065665814731,-0.02720709308835031,0.0794854962246899,1.0
