Base Year 2015-16,
Period,YoY CPI (%)
Jul-18,6.7
Aug-18,6.2
Sep-18,5.5
Oct-18,6.5
Nov-18,5.6
Dec-18,5.4
Jan-19,5.5
Feb-19,6.7
Mar-19,8.6
Apr-19,8.3
May-19,8.3
Jun-19,8.0
Jul-19,8.4
Aug-19,10.5
Sep-19,11.4
Oct-19,11.1
Nov-19,12.7
Dec-19,12.7
Jan-20,14.6
Feb-20,12.4
Mar-20,10.2
Apr-20,8.6
May-20,8.3
June-20,8.6
Jul-20,9.3
Aug-20,8.2
Sep-20,9.0
Oct-20,8.9
Nov-20,8.3
Dec-20,8.0
Jan-21,5.7
Feb-21,8.7
Mar-21,9.0
Apr-21,11.1
May-21,10.8
Jun-21,9.7
Jul-21,8.4
Aug-21,8.4
Sep-21,9
Oct-21,9.2
Nov-21,11.5
Dec-21,12.3
Jan-22,13
Feb-22,12.2
Mar-22,12.7
Apr-22,13.4
May-22,13.8
Jun-22,21.3
Jul-22,24.9
Aug-22,27.3
Sep-22,23.2
Oct-22,26.6
Nov-22,23.8
Dec-22,24.5
Jan-23,27.6
Feb-23,31.5
Mar-23,35.4
Apr-23,36.4
May-23,38
Jun-23,29.4
Jul-23,28.3
Aug-23,27.4
Sep-23,31.4
Oct-23,26.8
Nov-23,29.2
Dec-23,29.7
Jan-24,28.3
Feb-24,23.1
Mar-24,20.7
Apr-24,17.3
May-24,11.8
Jun-24,12.6
July-24,11.1
Aug-24,9.6
Sep-24,6.9
Oct-24,7.2
Nov-24,4.9
Dec-24,4.1
Jan-25,2.4
Feb-25,1.5
Mar-25,0.7
Apr-25,0.3
May-25,3.5
Jun-25,3.2
July-25,4.1
Aug-25,3.1
Sep-25,5.8
Oct-25,6.2
Nov-25,6.1
Dec-25,5.6
Jan-26,5.8
