symbol,cur_weight,mom_30,mom_60,mom_90,vol_30,vol_60,avg_volume,mkt_cap_proxy,price_to_ma20,price_to_ma50,wt_drift,wt_range,pred_weight_ridge,pred_weight_rf,pred_retention_prob_logit,pred_retention_prob_rf,pred_retained_logit,pred_retained_rf,avg_retention_prob,risk_of_exclusion
DFML,0.1012616563426061,0.028162780816820294,0.001701645334032718,-0.07346006769696091,0.2988919291358107,0.2385701217889303,1108292.0964285715,128730406.95025,0.02353640674623314,0.009069905755329843,-0.0004808717245627023,0.005717888083792609,0.040562932227616866,0.30879053841930804,0.4860750845722484,0.589552106428057,0,1,0.5378135955001527,0.46218640449984727
NETSOL,0.1480367916107417,0.004527003270838999,0.020195929471587694,0.1319479811330192,0.21397995774779155,0.2512036062435036,1108292.0964285715,128730406.95025,0.043533109908886036,0.031651945097340484,-0.003124529496428899,0.0107680013900925,0.25462619213318183,0.29050378965146106,0.6133349285219634,0.5640423673428551,1,1,0.5886886479324092,0.41131135206759084
GAL,0.4140518906641102,0.01213862140453701,0.16966700288288772,0.35078668067664737,0.21945223169408554,0.36932626844917105,1108292.0964285715,128730406.95025,0.021042984790539343,0.0922147063924772,-0.010956836172437312,0.02371483613478398,0.4069557026306261,0.32600321875294713,0.7188865726625489,0.5509959177371592,1,1,0.634941245199854,0.36505875480014605
GHNI,0.419895748099791,0.005476049914054301,0.07232888980876051,0.2384208691972243,0.23975841628893968,0.29430961465717276,1108292.0964285715,128730406.95025,0.0023637137859682245,0.027376673471176893,-0.01964982843389479,0.039670115013733576,0.5956373542759312,0.28892369528977807,0.7121643108449299,0.5697165712013106,1,1,0.6409404410231203,0.3590595589768797
AIRLINK,0.8492636902003575,-0.08381379405557705,0.07649522070148056,0.01848336589111875,0.29961329199815956,0.3894696212551931,1108292.0964285715,128730406.95025,-0.022092000430322667,0.031667719275289,-0.08138325206915464,0.08859744363902977,0.37815919875058235,0.5441846986443779,0.6481879870259466,0.7622672635141957,1,1,0.7052276252700711,0.2947723747299289
SAZEW,0.9077244545509208,0.09696455738027492,0.22567191956314706,0.3533274631249683,0.3781091316192802,0.35920864166326333,1108292.0964285715,128730406.95025,0.035979758289714336,0.1457368054481385,0.04865675044805018,0.14090283920677593,0.8599440585997322,0.5246194866946737,0.766471599946296,0.7555881012457187,1,1,0.7610298505960074,0.23897014940399264
PAEL,0.7718425740916116,0.24741782698827008,0.26758697669575926,0.2743210088771038,0.5481811720737731,0.4206616487269093,1108292.0964285715,128730406.95025,0.10649956872494815,0.21811170343493202,0.15276094727869183,0.19973081540858106,0.6498882602440292,0.5724181084123096,0.7151139254228706,0.8096397998702709,1,1,0.7623768626465708,0.23762313735342921
ATRL,1.109450907187917,0.006619970759913598,-0.05468971634632928,-0.010606697255279851,0.13578959268272872,0.19770179805554675,1108292.0964285715,128730406.95025,-0.0008115905128025513,-0.009485668131424485,-0.042950394595422714,0.05957275596013467,1.1803375063246686,0.6587931124506221,0.7928585154186587,0.8048824040446102,1,1,0.7988704597316345,0.2011295402683655
SEARL,1.025193661444871,0.1901560337229423,0.18734103942283978,0.25373448132027704,0.6670263648511758,0.49390998237797856,1108292.0964285715,128730406.95025,0.028646527074786432,0.11785970011560742,0.10506616658474432,0.19019458332082484,0.9518953055794968,0.6093393143470988,0.7665034177149995,0.8487439303957729,1,1,0.8076236740553862,0.19237632594461385
DGKC,1.046075120000985,0.23015171289246197,0.2995206357284218,0.3562377908450685,0.513862244650052,0.4034139824453167,1108292.0964285715,128730406.95025,0.11242455994801626,0.23482354644601644,0.23079644037665292,0.287594413893721,1.0129915292510883,0.6339482076945776,0.8036380278558243,0.8404998024407996,1,1,0.8220689151483119,0.17793108485168807
