as_of_date,trading_date,symbol,company,closing_price,current_weight_pct,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent,n_constituents
2020-06-30,2020-06-30,MLCF,Maple Leaf Cement Factory Ltd.,25.98,1.27,494255804.0,494255804.0,1.0,12840765787.92,13426662.601626016,1.0,181,,,,,True,True,True,True,True,True,True,True,0.10189204106860929,1.0,0.5509460205343046,1.0,True,28
2020-06-30,2020-06-30,ENGRO,Engro Corporation Limited.,292.92,9.18,316889777.0,316889777.0,1.0,92823353478.84,777443.5284552845,1.0,181,,,,,True,True,True,True,True,True,True,True,1.0,0.0556026119895037,0.5278013059947518,2.0,True,28
2020-06-30,2020-06-30,OGDC,Oil & Gas Development Company Limited,109.0,6.95,645139260.0,645139260.0,1.0,70320179340.0,3638190.9105691058,1.0,181,,,,,True,True,True,True,True,True,True,True,0.7473165050196842,0.26918752500255166,0.5082520150111179,3.0,True,28
2020-06-30,2020-06-30,HUBC,The Hub Power Company Limited,72.5,6.98,972865790.0,972865790.0,1.0,70532769775.0,2139583.56097561,1.0,181,,,,,True,True,True,True,True,True,True,True,0.7497036391094689,0.15730070745100241,0.4535021732802357,4.0,True,28
2020-06-30,2020-06-30,FFC,Fauji Fertilizer Company Limited,109.99,7.61,699731036.0,699731036.0,1.0,76963416649.64,1063980.8780487804,1.0,181,,,,,True,True,True,True,True,True,True,True,0.8219120447878352,0.0769956421013394,0.4494538434445873,5.0,True,28
2020-06-30,2020-06-30,HBL,Habib Bank Limited,96.87,7.03,733426254.0,733426254.0,1.0,71047001224.98,1695110.756097561,1.0,181,,,,,True,True,True,True,True,True,True,True,0.7554778378606339,0.12411613269264078,0.43979698527663735,6.0,True,28
2020-06-30,2020-06-30,PPL,Pakistan Petroleum Limited.,86.78,5.72,666184610.0,666184610.0,1.0,57811500455.8,3526213.162601626,1.0,181,,,,,True,True,True,True,True,True,True,True,0.6068591331598288,0.260827207098019,0.43384317012892387,7.0,True,28
2020-06-30,2020-06-30,MCB,MCB Bank Limited,162.07,6.65,414771002.0,414771002.0,1.0,67221936294.14,582384.1138211382,1.0,181,,,,,True,True,True,True,True,True,True,True,0.712526973716403,0.04103937289768772,0.37678317330704536,8.0,True,28
2020-06-30,2020-06-30,TRG,TRG Pakistan Ltd.,28.24,1.29,463582065.0,463582065.0,1.0,13091557515.6,8556268.292682927,1.0,181,,,,,True,True,True,True,True,True,True,True,0.10470812958444924,0.6363737842359878,0.3705409569102185,9.0,True,28
2020-06-30,2020-06-30,LUCK,Lucky Cement Limited.,461.58,5.9,129350000.0,129350000.0,1.0,59705373000.0,1111041.1138211382,1.0,181,,,,,True,True,True,True,True,True,True,True,0.6281250368302692,0.08050918420109152,0.3543171105156804,10.0,True,28
