as_of_date,incoming_count,outgoing_count,incoming,outgoing
2020-06-30,28,0,"BAFL,BAHL,DGKC,EFERT,ENGRO,EPCL,FCCL,FFC,HBL,HUBC,LOTCHEM,LUCK,MARI,MCB,MEBL,MLCF,MTL,NBP,NML,OGDC,PAEL,POL,PPL,PSO,SEARL,SNGP,TRG,UBL",
2020-12-31,1,3,ISL,"EPCL,LOTCHEM,MTL"
2021-06-30,2,4,"CHCC,UNITY","BAFL,FCCL,NBP,SNGP"
2021-12-31,4,3,"ATRL,KAPCO,PIOC,SYS","CHCC,NML,PAEL"
2022-06-30,3,2,"AVN,EPCL,NRL","ISL,PIOC"
2022-12-31,2,1,"GGL,MTL",SEARL
2023-06-30,1,2,TPLP,"GGL,MLCF"
2023-12-31,1,3,SNGP,"NRL,TPLP,UNITY"
2024-06-30,3,3,"BAFL,CHCC,MLCF","AVN,EPCL,KAPCO"
2024-12-31,3,2,"NRL,PRL,SEARL","CHCC,TRG"
2025-06-30,5,5,"AIRLINK,ENGROH,FCCL,PAEL,SAZEW","BAFL,ENGRO,NRL,PRL,SNGP"
2025-12-31,3,2,"GAL,GHNI,NBP","AIRLINK,MTL"
