as_of_date,trading_date,symbol,company,closing_price,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent
2020-06-30,2020-06-30,ATRL,Attock Refinery Limited,89.32,42646500.0,42646500.0,1.0,3809185380.0,765436.1111111111,0.5853658536585366,109,,,,,True,True,False,True,True,True,True,False,,,,,
2020-06-30,2020-06-30,BAFL,Bank Alfalah Limited,33.57,710866048.0,710866048.0,1.0,23863773231.36,1289173.1544715448,1.0,181,,,,,True,True,True,True,True,True,True,True,0.22566711514560495,0.09380861659593695,0.15973786587077093,20.0,True
2020-06-30,2020-06-30,BAHL,Bank Al-Habib Ltd.,52.3,722426520.0,722426520.0,1.0,37782906996.0,494161.0975609756,1.0,181,,,,,True,True,True,True,True,True,True,True,0.3819621935664422,0.034452595829748134,0.20820739469809516,17.0,True
2020-06-30,2020-06-30,DGKC,D. G. Khan Cement Co. Ltd.,85.33,219059559.0,219059559.0,1.0,18692352169.47,5306349.593495935,1.0,181,,,,,True,True,True,True,True,True,True,True,0.16759829605942156,0.3937331348010723,0.28066571543024693,13.0,True
2020-06-30,2020-06-30,EFERT,Engro Fertilizers Limited,60.28,600884719.0,600884719.0,1.0,36221330861.32,2574890.1707317075,1.0,181,,,,,True,True,True,True,True,True,True,True,0.36442757765162553,0.18980092923222844,0.27711425344192697,14.0,True
2020-06-30,2020-06-30,ENGRO,Engro Corporation Limited.,292.92,316889777.0,316889777.0,1.0,92823353478.84,777443.5284552845,1.0,181,,,,,True,True,True,True,True,True,True,True,1.0,0.0556026119895037,0.5278013059947518,2.0,True
2020-06-30,2020-06-30,EPCL,Engro Polymer & Chemicals Ltd.,24.98,318123167.0,318123167.0,1.0,7946716711.66,2282939.024390244,1.0,181,,,,,True,True,True,True,True,True,True,True,0.046937774725349775,0.16800370219104674,0.10747073845819825,25.0,True
2020-06-30,2020-06-30,FCCL,Fauji Cement Company Limited,16.88,758898264.0,758898264.0,1.0,12810202696.32,6226691.056910569,1.0,181,,,,,True,True,True,True,True,True,True,True,0.10154885442501653,0.46244631536176495,0.2819975848933907,12.0,True
2020-06-30,2020-06-30,FFC,Fauji Fertilizer Company Limited,109.99,699731036.0,699731036.0,1.0,76963416649.64,1063980.8780487804,1.0,181,,,,,True,True,True,True,True,True,True,True,0.8219120447878352,0.0769956421013394,0.4494538434445873,5.0,True
2020-06-30,2020-06-30,HBL,Habib Bank Limited,96.87,733426254.0,733426254.0,1.0,71047001224.98,1695110.756097561,1.0,181,,,,,True,True,True,True,True,True,True,True,0.7554778378606339,0.12411613269264078,0.43979698527663735,6.0,True
2020-06-30,2020-06-30,HUBC,The Hub Power Company Limited,72.5,972865790.0,972865790.0,1.0,70532769775.0,2139583.56097561,1.0,181,,,,,True,True,True,True,True,True,True,True,0.7497036391094689,0.15730070745100241,0.4535021732802357,4.0,True
2020-06-30,2020-06-30,ISL,International Steels Limited.,51.65,130500000.0,130500000.0,1.0,6740325000.0,1334381.9444444445,0.5853658536585366,109,,,,,True,True,False,True,True,True,True,False,,,,,
