symbol,cur_weight,mom_30,mom_60,mom_90,vol_30,vol_60,avg_volume,mkt_cap_proxy,price_to_ma20,price_to_ma50,wt_drift,wt_range,pred_wt_ridge,pred_wt_rf,pred_wt_avg,ret_prob_logit,ret_prob_rf,avg_ret_prob,exclusion_risk
SSGC,0.2465870945486202,-0.3387489505234515,-0.4198784864197381,-0.5793181544932005,0.9680164057455706,0.6895680518323524,4402040.761904762,102083325.26857144,-0.0973316984877679,-0.2520802425337031,-0.048471160645381595,0.08275963484401741,-0.6513478033513658,0.3084601535096953,-0.17144382492083524,0.3045273760963295,0.637342391680668,0.47093488388849875,0.5290651161115012
GAL,0.272134499638656,-0.3221025183499577,-0.3612471526093894,-0.3690443210197695,0.6698191155919393,0.5092015185066145,330442.90476190473,125898746.7142857,-0.10405117020088317,-0.22664372714691616,-0.04227371935439628,0.0519759688064958,-0.36555735778280773,0.3143012579883421,-0.02562804989723283,0.48524164331261815,0.6577269019398969,0.5714842726262576,0.42851572737374244
GHNI,0.3204026751544725,-0.33798109119600844,-0.25487387332246414,-0.19048877173221107,0.6326072548469376,0.5255238317906731,206061.38095238095,140169133.16523808,-0.15506463743723353,-0.2155483861444416,-0.061270347090012445,0.07003644531107195,-0.1829597586944991,0.3057336655415845,0.061386953423542695,0.4892846228720527,0.6690762036148904,0.5791804132434716,0.4208195867565284
PAEL,0.5840673898984757,-0.3669740293393046,-0.523749874746926,-0.39310356186042655,0.8173428860853219,0.602517251930071,7489560.095238095,276364767.5142857,-0.1733130208800071,-0.3061196858922286,-0.14376865053600785,0.1718403137971226,0.024350795506252076,0.48890507640515035,0.2566279359557012,0.5793961210077525,0.6921319902850542,0.6357640556464034,0.36423594435359663
BOP,1.186417434896103,-0.31598286272063575,-0.4238809423444652,-0.25704510298989114,0.8764590220242643,0.6529833402760601,35473190.333333336,966999168.4866668,-0.0914241909142417,-0.252171336709444,-0.16390110442850103,0.19701689204045603,1.2398560149803886,1.152458130727991,1.1961570728541897,0.5720761216016087,0.7617432435871541,0.6669096825943814,0.33309031740561856
FCCL,1.043085894025611,-0.3354510468464851,-0.38127419834167875,-0.3828414603081102,0.6591245787545051,0.5041359001833747,5953666.80952381,233324202.26523808,-0.17681902201310717,-0.266566355252126,-0.20042517236616497,0.27440334167928304,0.60341970039735,1.0015337973018095,0.8024767488495798,0.6016323174658871,0.8146411661891872,0.7081367418275372,0.29186325817246284
SNGP,0.8236869588172594,-0.17505907139552693,-0.26753129014351257,-0.2625474771862978,0.8279532192696827,0.5918251472424081,3895673.285714286,359804384.6685715,-0.037510616457984924,-0.14877302027055683,0.0024309279286287566,0.0779529429066298,0.2401407980961059,0.6736849324865656,0.45691286529133573,0.7502989402895809,0.7156646293616598,0.7329817848256204,0.2670182151743796
SEARL,0.7752502555447092,-0.31484591849397325,-0.431646537421765,-0.224106999121696,0.7848998032054921,0.590864536200089,4073077.6666666665,346496717.1033333,-0.08679573401463136,-0.2437993681586822,-0.12831726378690156,0.20156729126264195,0.35402720873455706,0.6090115736119419,0.4815193911732495,0.7606087158030537,0.7320741198258758,0.7463414178144647,0.2536585821855353
SAZEW,1.223498490404231,-0.2339707257265979,0.010765729277029481,0.09894381207229608,0.650952268593864,0.6705961887366482,220733.04761904763,406711676.8904762,-0.12220420096666873,-0.10976672220991801,-0.11397616706460711,0.15320034262720905,1.0152493983115307,0.875675295212553,0.9454623467620419,0.8233178211612348,0.7073227559587906,0.7653202885600127,0.23467971143998734
DGKC,1.098133673423053,-0.26247525841843483,-0.33010451716983347,-0.3751893582043635,0.7254546467505438,0.5383813791559627,2951469.9523809524,490888482.47999996,-0.14530617278875213,-0.223340141715208,-0.12282532090612097,0.2102258791276781,0.5274111671743129,0.9965943463688053,0.762002756771559,0.8219966513834372,0.7688275225123927,0.795412086947915,0.204587913052085
MLCF,1.198091486281104,-0.3430876744813625,-0.3995821157943656,-0.44562350738701934,0.7881115295520308,0.5980422314466652,8283172.380952381,654287786.3714285,-0.1366599813101479,-0.2584059530314382,-0.2538360542394389,0.27977896674914793,0.6783004004045905,1.2052522157630086,0.9417763080837995,0.7941057477542084,0.7999267927088564,0.7970162702315324,0.20298372976846757
ATRL,1.10951844334617,-0.031974772323814696,0.1132727509787538,0.21969303782521185,0.7241600366942368,0.5841439114395263,859297.5714285715,706660543.8157144,0.07212046150837637,0.03415033855071825,0.13521793359457113,0.20249386715303364,0.9171312650596546,1.048141463215662,0.9826363641376583,0.9406492173384082,0.8615828719312002,0.9011160446348042,0.09888395536519579
SYS,3.571145260352919,-0.20375590449212913,-0.28297290546001747,-0.2978233021234933,0.7439764186893104,0.5619104805142556,3690498.904761905,451680160.95380956,-0.041555563386623806,-0.16739004432785742,-0.09957365563537923,0.49008052272969804,3.1386024283329514,4.062611968774766,3.600607198553859,0.9648149539494507,0.9093717534389644,0.9370933536942075,0.06290664630579246
PSO,2.624009052140239,-0.2434798725544983,-0.26568646273732294,-0.2674350504522889,0.6789628904063637,0.5151514174734987,2566679.714285714,922002686.9657143,-0.058660132859894354,-0.18163874551657755,-0.21657125320454318,0.3559063559275124,2.235165153933713,2.5268683080287357,2.3810167309812247,0.9797165121054505,0.9233437204077286,0.9515301162565896,0.048469883743410436
LUCK,4.871337656607755,-0.275937182640033,-0.3318836083480542,-0.30908984967452424,0.7351895473735125,0.5509424738379154,2949821.380952381,1058543402.554762,-0.11320943554056906,-0.20772925955085297,-0.4834715952798314,0.6711880268983661,4.4056527011928335,4.696212213631059,4.550932457411946,0.9969129518764605,0.9206525291794181,0.9587827405279392,0.041217259472060785
HBL,5.028602123236016,-0.14827765768508303,-0.2574097170556877,-0.11114061997275533,0.7302672841731284,0.5261561333762272,2173479.0,605531249.4000001,-0.05734432308795856,-0.14544176305241074,0.025529975329043886,0.423691787563377,4.560298709283832,4.695922362112044,4.628110535697938,0.9946494664787608,0.9291005050977493,0.9618749857882551,0.038125014211744856
PPL,4.37596683572425,-0.12405344421461084,-0.1361651527350063,-0.05013032723387379,0.6423715475375418,0.5358601270680605,9968265.523809524,2088351627.2380953,-0.03429964829147114,-0.1332158313266969,0.13926984617003768,0.4336954202730734,4.38098109766117,4.173257982791237,4.277119540226204,0.9997628138050481,0.9340545469117657,0.9669086803584068,0.033091319641593175
POL,2.579931067628608,-0.03433209587034775,-0.028000591966851566,0.00328746227037537,0.39191436482202957,0.34426843860036843,540849.1428571428,336170193.23428565,-0.023579496363322128,-0.029844200058500414,0.28942428203494597,0.4650233199354159,2.461592132893646,3.098520461042568,2.780056296968107,0.9579619874485329,0.9766409953662774,0.9673014914074052,0.03269850859259482
