Date,SYMBOL,ISIN,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,VOLUME,ret_21d,wt_rank,vol_63d,turn_63d,next_weight,stay_next,weight_change_next,next_rebalance_date,NAV_AKD,AUM_AKD,FLOW_AKD,NAV_NBP,AUM_NBP,FLOW_NBP,NAV_NTI,AUM_NTI,FLOW_NTI,NAV_TOTAL,AUM_TOTAL,FLOW_TOTAL,NAV_AKD_lag1,NAV_AKD_lag2,AUM_AKD_lag1,AUM_AKD_lag2,FLOW_AKD_lag1,FLOW_AKD_lag2,NAV_NBP_lag1,NAV_NBP_lag2,AUM_NBP_lag1,AUM_NBP_lag2,FLOW_NBP_lag1,FLOW_NBP_lag2,NAV_NTI_lag1,NAV_NTI_lag2,AUM_NTI_lag1,AUM_NTI_lag2,FLOW_NTI_lag1,FLOW_NTI_lag2,NAV_TOTAL_lag1,NAV_TOTAL_lag2,AUM_TOTAL_lag1,AUM_TOTAL_lag2,FLOW_TOTAL_lag1,FLOW_TOTAL_lag2,aum_nav_ratio,flow_to_aum
2020-03-31,ATRL,PK0024501014,Attock Refinery Limited,66.41,0.32,42646500,2832154065.0,42646500,2832154065.0,601100.0,,32.0,,,0.59,1,0.26999999999999996,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,BAFL,PK0078701015,Bank Alfalah Limited,31.81,2.58,710866048,22612648986.88,710866048,22612648986.88,658832.0,,15.0,0.03556985323304568,1255226.2698412698,2.11,1,-0.4700000000000002,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,BAHL,PK0051601018,Bank Al-Habib Ltd.,53.87,4.45,722426520,38917116632.4,722426520,38917116632.4,753546.0,,10.0,0.03037806317402618,497677.01587301586,3.97,1,-0.48,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,BOP,PK0045001010,Bank Of Punjab.,10.2,1.04,1115957536,11382766867.2,2643692380,26965662276.0,28009500.0,,25.0,0.02693188056679096,14606343.137254901,0.94,1,-0.10000000000000009,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,DGKC,PK0052401012,D. G. Khan Cement Co. Ltd.,59.25,1.48,219059559,12979278870.75,219059559,12979278870.75,5752500.0,,19.0,0.03981817076501402,5911579.365079365,1.92,1,0.43999999999999995,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,EFERT,PK0099701010,Engro Fertilizers Limited,57.66,3.96,600884719,34647012897.54,600884719,34647012897.54,3364232.0,,11.0,0.025256048619624303,2634597.9206349207,3.11,1,-0.8500000000000001,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,ENGRO,PK0012101017,Engro Corporation Limited.,266.9,9.67,316889777,84577881481.3,316889777,84577881481.3,604890.0,,1.0,0.0315748689441829,995461.380952381,8.12,1,-1.5500000000000007,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,EPCL,PK0092201018,Engro Polymer & Chemicals Ltd.,24.52,0.89,318123167,7800380054.84,318123167,7800380054.84,1312000.0,,26.0,0.03660670755548058,3010428.5714285714,1.05,1,0.16000000000000003,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,FCCL,PK0074501013,Fauji Cement Company Limited,14.81,1.28,758898264,11239283289.84,758898264,11239283289.84,8050000.0,,21.0,0.038638144913112904,6983484.126984127,1.28,1,0.0,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,FFC,PK0053401011,Fauji Fertilizer Company Limited,93.01,7.44,699731036,65081983658.36,699731036,65081983658.36,785549.0,,4.0,0.02470860643141913,1272929.7142857143,6.44,1,-1.0,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,HBL,PK0085101019,Habib Bank Limited,103.23,8.65,733426254,75711592200.42,733426254,75711592200.42,1822626.0,,2.0,0.03178679117514139,1503581.7936507936,8.17,1,-0.4800000000000004,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,HUBC,PK0065001015,The Hub Power Company Limited,68.27,7.59,972865790,66417547483.3,972865790,66417547483.3,3662469.0,,3.0,0.032163050507666394,2653050.6666666665,6.5,1,-1.0899999999999999,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,ISL,PK0102001010,International Steels Limited.,36.19,0.54,130500000,4722795000.0,130500000,4722795000.0,1808500.0,,29.0,,,0.86,1,0.31999999999999995,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,KAPCO,PK0083101011,Kot Addu Power Company.,20.6,0.85,455684613,9387103027.8,880253228,18133216496.8,1089000.0,,27.0,0.021242221017304528,1556656.862745098,0.0,0,-0.85,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,LOTCHEM,PK0077901012,Lotte Chemical Pakistan Ltd.,9.83,0.43,378551802,3721164213.66,378551802,3721164213.66,4963000.0,,31.0,0.034291509576105196,3598039.6825396824,0.42,1,-0.010000000000000009,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,LUCK,PK0071501016,Lucky Cement Limited.,370.7,5.48,129350000,47950045000.0,129350000,47950045000.0,1480451.0,,8.0,0.0363514897300702,1130837.0476190476,7.13,1,1.6499999999999995,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,MARI,PK0066301018,Mari Petroleum Company Ltd.,891.1,2.72,26680500,23774993550.0,26680500,23774993550.0,80020.0,,14.0,0.030997935193165328,54330.15873015873,3.11,1,0.3899999999999997,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,MCB,PK0055601014,MCB Bank Limited,149.28,7.08,414771002,61917015178.56,414771002,61917015178.56,1094943.0,,5.0,0.028734999546344116,740910.4603174604,6.14,1,-0.9400000000000004,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,MEBL,PK0077401013,Meezan Bank Limited,65.09,2.39,321527906,20928251401.54,321527906,20928251401.54,1348500.0,,16.0,0.03286720337381102,618182.5396825396,2.48,1,0.08999999999999986,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,MLCF,PK0066201010,Maple Leaf Cement Factory Ltd.,20.72,1.17,494255804,10240980258.88,494255804,10240980258.88,19029500.0,,23.0,0.042338451267063364,12335293.650793651,1.51,1,0.3400000000000001,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,MTL,PK0009801017,Millat Tractors Limited,543.26,1.39,22423100,12181573306.0,22423100,12181573306.0,18300.0,,20.0,0.025326598924816934,38361.11111111111,1.54,1,0.15000000000000013,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,NBP,PK0078001010,National Bank Of Pakistan.,28.26,1.64,506929402,14325824900.52,506929402,14325824900.52,675000.0,,18.0,0.03466819349547116,1582674.603174603,1.72,1,0.08000000000000007,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,NML,PK0005501017,Nishat Mills Ltd.,58.73,1.06,158219932,9292256606.36,158219932,9292256606.36,7723400.0,,24.0,0.034261794593154704,1029312.6984126985,1.36,1,0.30000000000000004,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
2020-03-31,OGDC,PK0080201012,Oil & Gas Development Company Limited,76.99,5.68,645139260,49669271627.4,645139260,49669271627.4,12716786.0,,6.0,0.029769862566235976,3724476.8253968256,5.69,1,0.010000000000000675,2020-09-30,,,,,,,8.7168,6.65,0.06055144425877401,8.7168,6.65,0.06055144425877401,,,,,,,,,,,,,,,,,,,,,,,,,0.7628946402349487,0.009105480339665264
