Scope,Task,Model,RMSE,MAE,R2,test_win_idx,n_train_rows,n_test_rows,naive_rmse,naive_mae,naive_r2,ridge_rmse,ridge_mae,ridge_r2,rf_rmse,rf_mae,rf_r2
OOF,WeightCV,Naive,0.841,0.5211,0.9023,,,,,,,,,,,,
OOF,WeightCV,Ridge,0.8781,0.5707,0.8935,,,,,,,,,,,,
OOF,WeightCV,RandomForest,0.9589,0.611,0.873,,,,,,,,,,,,
Fold,WeightCV,All,,,,3.0,78.0,25.0,0.8074,0.5988,0.8703,1.053,0.8167,0.7794,0.7833,0.6265,0.8779
Fold,WeightCV,All,,,,4.0,103.0,26.0,0.5795,0.4215,0.9264,0.5563,0.4194,0.9322,0.5952,0.4552,0.9223
Fold,WeightCV,All,,,,5.0,129.0,27.0,0.852,0.6289,0.8884,0.9101,0.6231,0.8727,0.9815,0.6832,0.8519
Fold,WeightCV,All,,,,6.0,156.0,26.0,0.8639,0.5793,0.8587,0.8332,0.6212,0.8686,0.5985,0.506,0.9322
Fold,WeightCV,All,,,,7.0,182.0,24.0,0.8648,0.673,0.8488,0.8819,0.7314,0.8427,0.8443,0.7131,0.8558
Fold,WeightCV,All,,,,8.0,206.0,24.0,0.8429,0.6574,0.8718,0.8741,0.6092,0.8621,0.8992,0.7208,0.854
Fold,WeightCV,All,,,,9.0,230.0,25.0,1.2161,0.7423,0.7677,1.2485,0.8005,0.7551,1.1449,0.8104,0.794
Fold,WeightCV,All,,,,10.0,255.0,29.0,0.9802,0.4086,0.8789,1.0442,0.5692,0.8625,1.3766,0.6382,0.7611
Fold,WeightCV,All,,,,11.0,284.0,29.0,0.6397,0.4037,0.9517,0.6246,0.4232,0.9539,1.0541,0.656,0.8688
Fold,WeightCV,All,,,,12.0,313.0,25.0,0.9172,0.6925,0.8951,0.9151,0.6927,0.8956,1.1242,0.7703,0.8424
Fold,WeightCV,All,,,,13.0,338.0,26.0,1.0451,0.5845,0.8936,1.0781,0.6045,0.8868,1.2511,0.7026,0.8475
Fold,WeightCV,All,,,,14.0,364.0,28.0,0.1837,0.1163,0.9964,0.2119,0.1501,0.9952,0.3585,0.2795,0.9863
Fold,WeightCV,All,,,,15.0,392.0,30.0,0.7574,0.3826,0.9424,0.7687,0.4612,0.9407,0.896,0.4514,0.9194
