train_end,test_start,test_end,reg_r2,reg_mae,reg_mse,clf_acc,clf_f1_macro,clf_report
2021-01-29,2021-02-01,2021-05-05,0.9304801003372691,197126813.4962372,2.2776600033715523e+18,1.0,1.0,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 860.0}, '0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 218.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 732.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1810.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1810.0}}"
2021-05-05,2021-05-06,2021-08-13,0.9955672201977177,63697740.708939776,4.5201989107951784e+16,1.0,1.0,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 802.0}, '0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 335.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 753.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1890.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1890.0}}"
2021-08-13,2021-08-16,2021-11-18,0.20950929691363396,5929752048.385321,2.140348619793464e+21,1.0,1.0,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 777.0}, '0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 322.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 709.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1808.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1808.0}}"
2021-11-18,2021-11-19,2022-02-16,0.9701598180315268,127217557.10787421,3.9679293865602944e+17,1.0,1.0,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 832.0}, '0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 318.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 740.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1890.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1890.0}}"
2022-02-16,2022-02-17,2022-05-26,0.9879934281887577,105961654.82714698,1.5848534647919584e+17,1.0,1.0,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 836.0}, '0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 249.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 745.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1830.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1830.0}}"
2022-05-26,2022-05-27,2022-08-31,0.9415422660867224,127200791.88250366,4.6951839267919296e+17,1.0,1.0,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 809.0}, '0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 354.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 727.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1890.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1890.0}}"
2022-08-31,2022-09-01,2022-11-30,0.9910915916032372,110860263.29449518,1.4239628379276589e+17,1.0,1.0,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 747.0}, '0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 394.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 689.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1830.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1830.0}}"
2022-11-30,2022-12-01,2023-02-28,0.9846700715650036,115082766.85661256,2.88128769616013e+17,1.0,1.0,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 802.0}, '0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 440.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 648.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1890.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1890.0}}"
2023-02-28,2023-03-01,2023-06-05,0.9939150886795733,124134704.65019439,9.69039173266692e+16,0.9439153439153439,0.932996735337161,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 767.0}, '0': {'precision': 0.7773109243697479, 'recall': 1.0, 'f1-score': 0.8747044917257684, 'support': 370.0}, '1': {'precision': 1.0, 'recall': 0.8592297476759628, 'f1-score': 0.9242857142857143, 'support': 753.0}, 'accuracy': 0.9439153439153439, 'macro avg': {'precision': 0.9257703081232492, 'recall': 0.9530765825586544, 'f1-score': 0.932996735337161, 'support': 1890.0}, 'weighted avg': {'precision': 0.9564047841358766, 'recall': 0.9439153439153439, 'f1-score': 0.9453057168231096, 'support': 1890.0}}"
2023-06-05,2023-06-06,2023-09-07,0.16156359351922134,305584667.6091911,1.3653501172596244e+19,0.9402116402116402,0.6442326781814572,"{'-1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 994.0}, '0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, '1': {'precision': 1.0, 'recall': 0.8738839285714286, 'f1-score': 0.9326980345443716, 'support': 896.0}, 'accuracy': 0.9402116402116402, 'macro avg': {'precision': 0.6666666666666666, 'recall': 0.6246279761904762, 'f1-score': 0.6442326781814572, 'support': 1890.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.9402116402116402, 'f1-score': 0.9680938830432577, 'support': 1890.0}}"
