SYMBOL,TIMESTAMP,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
AIRLINK,2022-01-02 19:00:00,59.16,59.5,58.5,58.5,82,78500
AIRLINK,2022-01-03 19:00:00,61.16,61.99,59,59,180,203000
AIRLINK,2022-01-04 19:00:00,62.79,64.15,59.25,61.16,290,354000
AIRLINK,2022-01-05 19:00:00,60.06,61.5,60,61.35,168,236500
AIRLINK,2022-01-06 19:00:00,61.39,61.95,60.06,60.99,110,140500
AIRLINK,2022-01-09 19:00:00,61.41,61.69,61,61,79,104500
AIRLINK,2022-01-10 19:00:00,60.21,62.6,59,61.5,235,328000
AIRLINK,2022-01-11 19:00:00,59.99,60.89,59.9,60.01,82,54000
AIRLINK,2022-01-12 19:00:00,59.74,59.9,59.1,59.9,40,36000
AIRLINK,2022-01-13 19:00:00,59.29,60.25,59.12,60,34,32500
AIRLINK,2022-01-16 19:00:00,58.98,59.5,58.6,,46,43000
AIRLINK,2022-01-17 19:00:00,58.79,59.64,58.5,58.51,24,19500
AIRLINK,2022-01-18 19:00:00,56.79,58.52,56.5,58.52,69,91000
AIRLINK,2022-01-19 19:00:00,55.94,56.5,55,56,89,386500
AIRLINK,2022-01-20 19:00:00,56.63,57.5,55.8,56.01,82,290500
AIRLINK,2022-01-23 19:00:00,56.08,56.61,56.01,56.25,38,57000
AIRLINK,2022-01-24 19:00:00,55.56,56.5,55.5,56.48,50,101000
AIRLINK,2022-01-25 19:00:00,54.06,55.84,54,55.17,64,112000
AIRLINK,2022-01-26 19:00:00,54.37,55,54.11,55,19,29500
AIRLINK,2022-01-27 19:00:00,54.7,55.48,54.6,54.6,33,31500
AIRLINK,2022-01-30 19:00:00,56,56.5,55.48,55.48,49,55000
AIRLINK,2022-01-31 19:00:00,56.53,56.89,55.82,56.5,29,27000
AIRLINK,2022-02-01 19:00:00,60.64,60.76,55.3,55.3,189,233000
AIRLINK,2022-02-02 19:00:00,60.41,62.45,59.02,61.25,184,222000
AIRLINK,2022-02-03 19:00:00,59.51,61.45,58.21,61.1,34,59000
AIRLINK,2022-02-06 19:00:00,60.13,62,59.05,60.9,76,2492000
AIRLINK,2022-02-07 19:00:00,60.55,61,60.15,60.15,67,127500
AIRLINK,2022-02-08 19:00:00,60.33,61,60,60.99,56,118000
AIRLINK,2022-02-09 19:00:00,59.53,60.6,59.5,59.5,69,190500
AIRLINK,2022-02-10 19:00:00,59.27,60.3,58.65,58.65,23,12000
AIRLINK,2022-02-13 19:00:00,58,58.95,58,58.01,20,23000
AIRLINK,2022-02-14 19:00:00,58.75,59,58,58.89,34,30000
AIRLINK,2022-02-15 19:00:00,58.48,59.5,58,59,21,27500
AIRLINK,2022-02-16 19:00:00,58,58.5,57.75,57.98,34,39500
AIRLINK,2022-02-17 19:00:00,58.95,59.89,57.5,58,23,28500
AIRLINK,2022-02-20 19:00:00,57.95,59.5,57.5,58,14,14000
AIRLINK,2022-02-21 19:00:00,56.66,59.3,55.11,57.02,88,105000
AIRLINK,2022-02-22 19:00:00,57.32,57.5,55.64,57,22,22500
AIRLINK,2022-02-23 19:00:00,54.93,57.9,54,55.9,141,800000
AIRLINK,2022-02-24 19:00:00,54.75,55.85,53.55,53.55,42,34000
AIRLINK,2022-02-27 19:00:00,56.87,57.35,53.2,53.65,74,47500
AIRLINK,2022-02-28 19:00:00,57.23,58.67,55.7,55.73,138,307500
AIRLINK,2022-03-01 19:00:00,56.7,57.7,53.25,55.77,28,14500
AIRLINK,2022-03-02 19:00:00,54.8,57.5,54.5,57.47,77,58500
AIRLINK,2022-03-03 19:00:00,55.52,56.29,55,55.49,33,22000
AIRLINK,2022-03-06 19:00:00,53.85,56.84,53.35,56.84,61,54000
AIRLINK,2022-03-07 19:00:00,53.93,55.5,53,53,40,37000
AIRLINK,2022-03-08 19:00:00,53.04,54,52.6,53.75,24,18000
AIRLINK,2022-03-09 19:00:00,53.32,54.9,53.05,54.89,35,33000
AIRLINK,2022-03-10 19:00:00,53.63,55.45,52.5,53.25,67,58500
AIRLINK,2022-03-13 19:00:00,54.05,55.9,52.1,52.61,74,46500
AIRLINK,2022-03-14 19:00:00,54.53,55,53.25,54,67,58000
AIRLINK,2022-03-15 19:00:00,54.15,54.6,54.1,54.6,21,11500
AIRLINK,2022-03-16 19:00:00,54.08,54.45,53.27,53.72,19,16000
AIRLINK,2022-03-17 19:00:00,53.05,53.69,51.56,51.56,40,22000
AIRLINK,2022-03-20 19:00:00,53.25,53.5,52.32,52.52,24,14000
AIRLINK,2022-03-21 19:00:00,52.6,53.01,52.5,53.01,12,11000
AIRLINK,2022-03-23 19:00:00,52.89,53.38,51.49,52.02,64,180000
AIRLINK,2022-03-24 19:00:00,52.71,53,52.13,53,36,28000
AIRLINK,2022-03-27 19:00:00,53.17,53.58,51.75,52.4,38,25000
AIRLINK,2022-03-28 19:00:00,52.81,53.89,52.6,53,91,103500
AIRLINK,2022-03-29 19:00:00,53.33,54.5,51.7,51.86,153,201500
AIRLINK,2022-03-30 19:00:00,53.93,54.4,53,53.2,231,274000
AIRLINK,2022-03-31 19:00:00,54.55,55,53.5,53.52,123,210000
AIRLINK,2022-04-03 19:00:00,52,53,51.6,51.6,36,24500
AIRLINK,2022-04-04 19:00:00,50.62,52.84,49.75,52,172,802000
AIRLINK,2022-04-05 19:00:00,51.03,51.6,50.61,50.73,73,490500
AIRLINK,2022-04-06 19:00:00,50.53,51.2,50.5,51.11,17,10500
AIRLINK,2022-04-07 19:00:00,52.83,53.15,49.8,50,84,119000
AIRLINK,2022-04-10 19:00:00,54.77,56.79,54,54,140,125500
AIRLINK,2022-04-11 19:00:00,53.96,54,52.92,54,70,106000
AIRLINK,2022-04-12 19:00:00,52.48,54,52.2,53.5,107,93000
AIRLINK,2022-04-13 19:00:00,52.02,52.97,51.81,52.89,54,37000
AIRLINK,2022-04-14 19:00:00,52.06,52.49,51.51,51.8,25,17000
AIRLINK,2022-04-17 19:00:00,51.55,52.04,51.41,52,60,55500
AIRLINK,2022-04-18 19:00:00,49.43,51.55,49,51.01,147,204000
AIRLINK,2022-04-19 19:00:00,48.76,50,47.81,49.53,138,110000
AIRLINK,2022-04-20 19:00:00,49.87,51,48.1,48.1,47,322000
AIRLINK,2022-04-21 19:00:00,49.1,50.99,49,50.99,48,33500
AIRLINK,2022-04-24 19:00:00,48.77,50,48.61,49,86,53500
AIRLINK,2022-04-25 19:00:00,47.62,48.78,47.35,48.78,60,49000
AIRLINK,2022-04-26 19:00:00,45.93,47.62,45.52,47.62,110,132000
