,oil_price_end,oil_return_monthly,usdpkr_end,usdpkr_return_monthly,interest_rate_end,cpi_yoy_end,idx_return_monthly,idx_vol_monthly,sector_aum_mn,sector_aum_prev,composite_return_monthly,composite_net_flow,total_fund_flow,flow_pct_sector,gold_price_end,gold_return_monthly,gold_volume_end,gdp_usd,gdp_yoy
oil_price_end,1.0,-0.2183936050478783,-0.3141697033451874,0.23988369808782137,0.22750411709749643,0.3873223934882825,-0.22342427248631969,-0.039044476397592336,-0.5592265012902121,-0.5554177367700207,-0.2037722243184947,-0.2750652803264287,-0.2750652803264287,-0.2021762400000192,-0.5236187568910163,-0.20311455101928375,0.09614981521737813,-0.00819765019655866,0.3257899073929283
oil_return_monthly,-0.2183936050478783,1.0,0.13352006283487786,0.13132755863686504,0.09951854118837825,0.014389164362287895,-0.05280534081292462,-0.11843342741677094,0.04682799107191236,0.052807192428129805,0.024486353378187335,0.024080413455370316,0.024080413455370316,-0.09990817981275368,0.193154176184921,0.22531220658057413,0.11610028818462689,-0.052605928076601575,-0.13317881243758048
usdpkr_end,-0.3141697033451874,0.13352006283487786,1.0,-0.07841293488278744,0.6515156059138134,0.0896776049260941,0.421100189158916,0.09979547097249646,0.5145027411842805,0.5002838249578331,0.38927049789934237,0.2340135060689696,0.2340135060689696,0.23354431919047355,0.5768486758064755,0.3436747438180401,0.48284993041283136,0.7042062080099989,-0.015287451357852411
usdpkr_return_monthly,0.23988369808782137,0.13132755863686504,-0.07841293488278744,1.0,0.01574204468785525,0.15404719088982965,-0.21109359908536945,-0.0649159806531667,-0.20069911900755938,-0.19361909903444982,-0.2060122557070958,-0.06544633207400716,-0.06544633207400716,-0.05257211276640204,-0.18766993626686776,0.00749656902989784,-0.1534357192932891,0.0010591835861385843,0.17484061410048174
interest_rate_end,0.22750411709749643,0.09951854118837825,0.6515156059138134,0.01574204468785525,1.0,0.6881821362465499,0.17132978354392867,-0.07323747682676886,-0.24265201884470414,-0.2571543905251643,0.17002030198500614,-0.07220541019068814,-0.07220541019068814,0.04654789404554685,-0.1082708965015991,0.17877714045197482,0.4450645211226261,0.42645492997542656,-0.13762507562137397
cpi_yoy_end,0.3873223934882825,0.014389164362287895,0.0896776049260941,0.15404719088982965,0.6881821362465499,1.0,-0.12014245149540256,-0.1887201063202355,-0.6176738713361826,-0.6271253068357405,-0.07328451472663852,-0.22650228399194067,-0.22650228399194067,-0.13835243594657456,-0.5657765706690561,-0.09739882770483825,0.20225537212273387,0.2354117384163287,0.13305644065547534
idx_return_monthly,-0.22342427248631969,-0.05280534081292462,0.421100189158916,-0.21109359908536945,0.17132978354392867,-0.12014245149540256,1.0,0.1884278559835092,0.3621630124423331,0.2914842820458416,0.8977875813192793,0.1845975184558428,0.1845975184558428,0.2831341803075694,0.27244834373026855,0.32350961218458923,0.25814105254004865,0.261222472803634,-0.08731013079973393
idx_vol_monthly,-0.039044476397592336,-0.11843342741677094,0.09979547097249646,-0.0649159806531667,-0.07323747682676886,-0.1887201063202355,0.1884278559835092,1.0,0.13104423258992465,0.14440258937116984,0.03439678644672689,-0.09407667970085241,-0.09407667970085241,-0.008534183822373474,0.09669162065984221,-0.08776921953689142,-0.023194295936252652,0.187278436397356,0.13880479742895835
sector_aum_mn,-0.5592265012902121,0.04682799107191236,0.5145027411842805,-0.20069911900755938,-0.24265201884470414,-0.6176738713361826,0.3621630124423331,0.13104423258992465,1.0,0.994479684434676,0.31323673539634234,0.43699024536893966,0.43699024536893966,0.2790483851657183,0.9828582108337731,0.24619600393177452,0.23687749795739946,0.3841520057796647,0.0964689752531004
sector_aum_prev,-0.5554177367700207,0.052807192428129805,0.5002838249578331,-0.19361909903444982,-0.2571543905251643,-0.6271253068357405,0.2914842820458416,0.14440258937116984,0.994479684434676,1.0,0.2424817992145282,0.3859815455192726,0.3859815455192726,0.23193325904568063,0.9831307157740615,0.2401132931713946,0.22547258189197922,0.379305832372681,0.10542277185776207
composite_return_monthly,-0.2037722243184947,0.024486353378187335,0.38927049789934237,-0.2060122557070958,0.17002030198500614,-0.07328451472663852,0.8977875813192793,0.03439678644672689,0.31323673539634234,0.2424817992145282,1.0,0.028903048329298808,0.028903048329298808,0.035298627154198736,0.19893205822280177,0.3108226757106107,0.25379622868461116,0.24174234728499916,-0.05846759300907234
composite_net_flow,-0.2750652803264287,0.024080413455370316,0.2340135060689696,-0.06544633207400716,-0.07220541019068814,-0.22650228399194067,0.1845975184558428,-0.09407667970085241,0.43699024536893966,0.3859815455192726,0.028903048329298808,1.0,1.0,0.8705476526797717,0.6302110207275784,0.047263642305852144,0.12631018340656847,0.13023404124406607,-0.021319608299920852
total_fund_flow,-0.2750652803264287,0.024080413455370316,0.2340135060689696,-0.06544633207400716,-0.07220541019068814,-0.22650228399194067,0.1845975184558428,-0.09407667970085241,0.43699024536893966,0.3859815455192726,0.028903048329298808,1.0,1.0,0.8705476526797717,0.6302110207275784,0.047263642305852144,0.12631018340656847,0.13023404124406607,-0.021319608299920852
flow_pct_sector,-0.2021762400000192,-0.09990817981275368,0.23354431919047355,-0.05257211276640204,0.04654789404554685,-0.13835243594657456,0.2831341803075694,-0.008534183822373474,0.2790483851657183,0.23193325904568063,0.035298627154198736,0.8705476526797717,0.8705476526797717,1.0,0.42100527921894443,0.0140075996510371,0.17871722135214488,0.05756422797875819,-0.14003893616244864
gold_price_end,-0.5236187568910163,0.193154176184921,0.5768486758064755,-0.18766993626686776,-0.1082708965015991,-0.5657765706690561,0.27244834373026855,0.09669162065984221,0.9828582108337731,0.9831307157740615,0.19893205822280177,0.6302110207275784,0.6302110207275784,0.42100527921894443,1.0,0.31097509016343133,0.27792643751457624,0.4413420797568304,0.08226403588143147
gold_return_monthly,-0.20311455101928375,0.22531220658057413,0.3436747438180401,0.00749656902989784,0.17877714045197482,-0.09739882770483825,0.32350961218458923,-0.08776921953689142,0.24619600393177452,0.2401132931713946,0.3108226757106107,0.047263642305852144,0.047263642305852144,0.0140075996510371,0.31097509016343133,1.0,0.3233394080571589,0.2671164376529804,0.007067392337678189
gold_volume_end,0.09614981521737813,0.11610028818462689,0.48284993041283136,-0.1534357192932891,0.4450645211226261,0.20225537212273387,0.25814105254004865,-0.023194295936252652,0.23687749795739946,0.22547258189197922,0.25379622868461116,0.12631018340656847,0.12631018340656847,0.17871722135214488,0.27792643751457624,0.3233394080571589,1.0,0.3624842773519692,0.04070776738083584
gdp_usd,-0.00819765019655866,-0.052605928076601575,0.7042062080099989,0.0010591835861385843,0.42645492997542656,0.2354117384163287,0.261222472803634,0.187278436397356,0.3841520057796647,0.379305832372681,0.24174234728499916,0.13023404124406607,0.13023404124406607,0.05756422797875819,0.4413420797568304,0.2671164376529804,0.3624842773519692,1.0,0.6402763354472247
gdp_yoy,0.3257899073929283,-0.13317881243758048,-0.015287451357852411,0.17484061410048174,-0.13762507562137397,0.13305644065547534,-0.08731013079973393,0.13880479742895835,0.0964689752531004,0.10542277185776207,-0.05846759300907234,-0.021319608299920852,-0.021319608299920852,-0.14003893616244864,0.08226403588143147,0.007067392337678189,0.04070776738083584,0.6402763354472247,1.0
