,count,mean,std,min,25%,50%,75%,max
price,46560.0,241.7499,336.7049,4.79,66.6975,120.04,272.4825,3669.06
weight_pct,46560.0,3.3333,2.4543,0.057,1.0993,3.18,5.0698,14.4669
ff_shares,46560.0,393769631.5687,283772362.3378,12782653.0,129939017.0,378551802.0,600884719.0,1598965412.0
ff_mcap,46560.0,55420761604.8433,57113379803.5506,1218431250.75,15832802648.5,43131394120.645,74241462919.6,574787910148.88
ord_shares,46560.0,417283664.6823,350843175.7997,12782653.0,130500000.0,381773466.0,645139260.0,4300928400.0
ord_mcap,46560.0,57893947229.0312,61794809616.3853,1218431250.75,16363061724.5625,44277039999.075,75559980573.765,663246168564.0
volume,28950.0,3190884.9464,7041650.3913,4.0,405593.0,1103997.5,2968030.25,184399246.0
log_return,46501.0,0.0003,0.0314,-2.1405,-0.0107,-0.0006,0.0104,1.0931
rolling_vol_30d,45675.0,0.3781,0.3231,0.0351,0.2406,0.3252,0.4354,6.2654
ma_20,46029.0,241.4637,334.83,5.075,67.196,119.801,272.289,3439.4165
ma_50,45144.0,241.3398,332.9111,5.251,67.5266,120.098,271.8772,3043.7876
