date,nav_start,nav_end,aum,aum_prev,nav_return_m,fund_flow,fund_flow_pct
2020-11-30,10.0613,10.3339,6.95,1.71,0.02709391430530861,5.193669406537922,3.0372335710748084
2020-12-31,10.3963,10.8065,6.21,6.95,0.03945634504583362,-1.014221598068544,-0.14593116518971858
2021-01-31,10.8065,11.3112,5.94,6.21,0.046703372969971735,-0.5600279461435242,-0.09018163383953691
2021-02-28,11.3108,11.4318,8.83,5.94,0.010697740212893825,2.8264554231354104,0.47583424631909266
2021-03-31,11.4313,11.2139,7.93,8.83,-0.019017959462178324,-0.7320714179489656,-0.08290729535095873
2021-04-30,11.1909,11.4342,8.1,7.93,0.021740878749698433,-0.002405168485108078,-0.00030329993507037555
2021-05-31,11.2767,11.9622,8.15,8.1,0.06078906062943945,-0.44239139109845915,-0.05461622112326656
2021-06-30,12.1042,10.9119,7.44,8.15,-0.09850299895903913,0.09279944151616881,0.011386434541861204
2021-07-31,10.9271,10.8762,8.11,7.44,-0.004658143514747581,0.7046565877497208,0.09471190695560763
2021-08-31,10.8756,10.9811,12.6,8.11,0.009700614218985493,4.411328018684028,0.5439368703679442
2021-09-30,10.9749,10.3444,6.78,12.6,-0.057449270608388225,-5.096139190334308,-0.4044554912963737
2021-10-31,10.4626,10.6774,9.4,6.78,0.020530269722631056,2.480804771280561,0.3659004087434456
2021-11-30,10.6769,10.4332,9.35,9.4,-0.02282497728741495,0.16455478650170008,0.017505828351244687
2021-12-31,10.3353,10.3169,12.07,9.35,-0.0017803063287954446,2.7366458641742373,0.29268939723788634
2022-01-31,10.3391,10.4375,11.55,12.07,0.00951726939482156,-0.6348734415954951,-0.05259929093583223
2022-02-28,10.5079,10.1176,10.0,11.55,-0.03714348252267341,-1.1209927768631225,-0.09705565167646081
2022-03-31,10.2365,10.1371,7.56,10.0,-0.009710350217359331,-2.3428964978264064,-0.23428964978264064
2022-04-30,10.209,10.3587,7.62,7.56,0.014663532177490612,-0.05085630326182855,-0.006727024240982613
2022-05-31,10.3585,9.8945,7.88,7.62,-0.04479413042428915,0.6013312738330834,0.07891486533242564
2022-06-30,9.92,9.3779,5.88,7.88,-0.054647177419354764,-1.5693802419354848,-0.19915992917963005
2022-07-31,9.453,9.3169,5.97,5.88,-0.014397545752671048,0.1746575690257055,0.029703668201650598
2022-08-31,9.3163,9.7309,5.22,5.97,0.04450264590019648,-1.0156807960241734,-0.17013078660371414
2022-09-30,9.804,9.595,4.23,5.22,-0.021317829457364268,-0.878720930232558,-0.16833734295642874
2022-10-31,9.6235,9.449,5.29,4.23,-0.018132696004572124,1.13670130409934,0.2687237125530354
2022-11-30,9.4696,10.0172,6.0,5.29,0.0578271521500382,0.4040943651262978,0.07638834879514136
2022-12-31,9.9828,9.4383,3.06,6.0,-0.054543815362423254,-2.61273710782546,-0.4354561846375767
2023-01-31,9.4381,9.6122,3.06,3.06,0.018446509360994234,-0.056446318644642446,-0.018446509360994262
2023-02-28,9.8088,9.7729,6.34,3.06,-0.0036599787945518214,3.2911995351113283,1.075555403631153
2023-03-31,9.659,9.7114,6.34,6.34,0.005424992235220971,-0.03439445077130099,-0.005424992235220976
2023-04-30,9.7673,10.1679,6.27,6.34,0.04101440520921851,-0.33003132902644605,-0.05205541467294102
2023-05-31,10.1675,10.1416,4.77,6.27,-0.0025473321858864306,-1.484028227194492,-0.23668711757487912
2023-06-30,10.0276,9.819,3.66,4.77,-0.020802584865770357,-1.010771670190275,-0.21190181764995283
2023-07-31,9.824,11.3567,6.73,3.66,0.15601587947882734,2.4989818811074924,0.6827819347288231
2023-08-31,11.656,11.1119,1.25,6.73,-0.04667982155113248,-5.165844800960879,-0.7675846658188527
2023-09-30,10.8111,10.663,5.67,1.25,-0.013698883554864816,4.437123604443581,3.549698883554865
2023-10-31,10.6629,11.6814,10.51,5.67,0.09551810483076828,4.2984123456095436,0.7580974154514186
2023-11-30,11.7361,13.4616,8.15,10.51,0.147024991266264,-3.9052326582084333,-0.3715730407429528
2023-12-31,13.4386,13.6837,6.63,8.15,0.01823850698733498,-1.6686438319467802,-0.20474157447199756
2024-01-31,13.6832,13.731,3.63,6.63,0.0034933348924228724,-3.0231608103367638,-0.4559820226752283
2024-02-29,13.798,14.124,9.82,3.63,0.023626612552543946,6.104235396434266,1.6816075472270706
2024-03-31,14.389,14.7888,8.75,9.82,0.02778511362846614,-1.3428498158315385,-0.13674641709078802
2024-04-30,14.7857,15.9699,7.78,8.75,0.08009089863854935,-1.670795363087307,-0.19094804149569222
2024-05-31,15.9156,16.6381,0.0,7.78,0.045395712382819475,-8.133178642338336,-1.0453957123828195
2024-06-30,16.8998,15.9039,1.0,0.0,-0.05892969147563876,1.0,inf
2024-07-31,15.9033,15.9489,10.0,1.0,0.002867329422195475,8.997132670577805,8.997132670577805
2024-08-31,15.7928,15.7447,10.0,10.0,-0.003045691707613596,0.030456917076136847,0.0030456917076136848
2024-09-30,15.7442,16.3708,10.0,10.0,0.0397987830439146,-0.39798783043914554,-0.03979878304391456
2024-10-31,16.2933,18.2171,9.0,10.0,0.11807307298091851,-2.1807307298091843,-0.21807307298091844
2024-11-30,17.9143,20.2779,13.0,9.0,0.13193928872465,2.8125464014781496,0.3125051557197944
2024-12-31,20.2773,22.4321,16.0,13.0,0.10626661340513777,1.6185340257332097,0.12450261736409306
2025-01-31,22.4481,22.3421,18.0,16.0,-0.004722003198489033,2.0755520511758245,0.12972200319848903
2025-02-28,22.6064,22.3514,18.0,18.0,-0.0112799915068299,0.20303984712293754,0.011279991506829864
2025-03-31,22.2538,23.6341,23.0,18.0,0.06202536196065389,3.8835434847082304,0.2157524158171239
2025-04-30,23.6336,22.6137,13.0,23.0,-0.0431546611603818,-9.007442793311217,-0.3916279475352703
