stage,series,n_obs,adf_p,pp_p,kpss_p,adf_stationary,pp_stationary,kpss_stationary,overall
after,akd_aum_logdiff,58,6.990952271679955e-09,2.4981326761083715e-10,0.01,True,True,False,Mixed
after,akd_fund_flow,60,1.4578384989496518e-09,2.1289644014792525e-30,0.09084091511639888,True,True,True,Stationary
after,akd_fund_flow_pct,59,2.5983354587718156e-11,2.102605965722714e-11,0.1,True,True,True,Stationary
after,akd_nav_logdiff,60,3.950567482523467e-09,4.381199519649472e-10,0.01,True,True,False,Mixed
after,akd_nav_return_m,61,1.881882733563957e-09,2.6285090211898413e-10,0.01,True,True,False,Mixed
after,kse_avg_price_logdiff,1555,0.0,0.0,0.1,True,True,True,Stationary
after,kse_constituent_mean_log_return,1551,1.2097505572098068e-28,0.0,0.1,True,True,True,Stationary
after,kse_ff_mcap_logdiff,1550,2.0862667182814533e-28,0.0,0.047918601116288116,True,True,False,Mixed
after,kse_volume_log1p_diff,1555,0.0,0.0,0.1,True,True,True,Stationary
after,kse_weight_sum_centered,1556,6.069433724968302e-10,2.899604925001528e-24,0.1,True,True,True,Stationary
after,nbp_aum_logdiff,61,0.5204802541043672,6.141574990514774e-20,0.1,False,True,True,Mixed
after,nbp_fund_flow,63,0.9986589634838544,1.059305918093155e-17,0.03647752589066094,False,True,False,Non-stationary
after,nbp_fund_flow_pct,62,8.133319361703799e-16,3.1851406512020005e-16,0.1,True,True,True,Stationary
after,nbp_nav_logdiff,63,2.8804543652401164e-11,6.3068321787824535e-12,0.012700137538395244,True,True,False,Mixed
after,nbp_nav_return_m,64,1.2100059217439652e-11,1.8019425174145332e-12,0.010853225536699198,True,True,False,Mixed
after,nti_aum_logdiff,68,0.0,0.0,0.1,True,True,True,Stationary
after,nti_fund_flow,70,1.3899571354171166e-14,1.3083565096113754e-28,0.1,True,True,True,Stationary
after,nti_fund_flow_pct,69,0.0,0.0,0.1,True,True,True,Stationary
after,nti_nav_logdiff,70,7.393775153284062e-15,5.627829662456625e-15,0.045574216653235425,True,True,False,Mixed
after,nti_nav_return_m,71,9.203644399513256e-17,6.327247416972498e-17,0.01,True,True,False,Mixed
after,total_fund_flow,70,1.548973826686742e-10,2.63661686822348e-30,0.1,True,True,True,Stationary
after,total_fund_flow_pct_mean,69,1.1379739287969566e-29,0.0,0.1,True,True,True,Stationary
before,akd_nav_level,1643,0.9990634041865812,1.0,0.01,False,False,False,Non-stationary
before,kse_avg_price_level,1556,0.6909678269328896,0.706143038621868,0.01,False,False,False,Non-stationary
before,kse_total_ff_mcap_level,1556,0.9892533439861529,0.9712965509207268,0.01,False,False,False,Non-stationary
before,kse_total_volume_level,1556,0.16591585350500143,9.595851150847833e-18,0.01,False,True,False,Non-stationary
before,kse_weight_sum_level,1556,6.069433724968123e-10,2.8996049250075382e-24,0.1,True,True,True,Stationary
before,nbp_nav_level,1922,0.9980641319545398,5.848616698299867e-21,0.01,False,True,False,Non-stationary
before,nti_nav_level,2127,1.0,0.991111708377886,0.01,False,False,False,Non-stationary
