File,Sheet,Original_Rows,Final_Rows,Rows_Removed,Original_Zeros,Final_Zeros,Zeros_Replaced,Actions
kse100_daily_data_sep_companies.xlsx,ABL,1411,1411,0,49,0,49,"VOLUME: Replaced 45 zeros with median (28,370); IDX WT %: Replaced 4 zeros with median (0.50)"
kse100_daily_data_sep_companies.xlsx,ABOT,1411,1411,0,22,0,22,"VOLUME: Replaced 18 zeros with median (8,179); IDX WT %: Replaced 4 zeros with median (0.67)"
kse100_daily_data_sep_companies.xlsx,AGIL,429,429,0,49,0,49,"VOLUME: Replaced 49 zeros with median (5,050)"
kse100_daily_data_sep_companies.xlsx,AGP,1411,1411,0,5,0,5,"VOLUME: Replaced 1 zeros with median (119,435); IDX WT %: Replaced 4 zeros with median (0.41)"
kse100_daily_data_sep_companies.xlsx,AICL,1411,1411,0,21,0,21,"VOLUME: Replaced 17 zeros with median (194,750); IDX WT %: Replaced 4 zeros with median (0.43)"
kse100_daily_data_sep_companies.xlsx,AKBL,1411,1411,0,6,0,6,"VOLUME: Replaced 2 zeros with median (309,500); IDX WT %: Replaced 4 zeros with median (0.43)"
kse100_daily_data_sep_companies.xlsx,ANL,672,672,0,4,0,4,IDX WT %: Replaced 4 zeros with median (0.32)
kse100_daily_data_sep_companies.xlsx,APL,1411,1411,0,5,0,5,"VOLUME: Replaced 1 zeros with median (32,393); IDX WT %: Replaced 4 zeros with median (0.44)"
kse100_daily_data_sep_companies.xlsx,ARPL,1043,1043,0,68,0,68,"VOLUME: Replaced 64 zeros with median (2,050); IDX WT %: Replaced 4 zeros with median (0.27)"
kse100_daily_data_sep_companies.xlsx,ASL,243,243,0,4,0,4,IDX WT %: Replaced 4 zeros with median (0.26)
kse100_daily_data_sep_companies.xlsx,ATLH,1168,1168,0,195,0,195,"VOLUME: Replaced 191 zeros with median (1,900); IDX WT %: Replaced 4 zeros with median (0.29)"
kse100_daily_data_sep_companies.xlsx,ATRL,1411,1411,0,5,0,5,"VOLUME: Replaced 1 zeros with median (1,132,639); IDX WT %: Replaced 4 zeros with median (0.48)"
kse100_daily_data_sep_companies.xlsx,AVN,981,981,0,4,0,4,IDX WT %: Replaced 4 zeros with median (0.34)
kse100_daily_data_sep_companies.xlsx,BAFL,1411,1411,0,4,0,4,IDX WT %: Replaced 4 zeros with median (1.40)
kse100_daily_data_sep_companies.xlsx,BAHL,1411,1411,0,4,0,4,IDX WT %: Replaced 4 zeros with median (2.71)
kse100_daily_data_sep_companies.xlsx,BNWM,1411,1411,0,283,0,283,"VOLUME: Replaced 279 zeros with median (9,230); IDX WT %: Replaced 4 zeros with median (0.01)"
kse100_daily_data_sep_companies.xlsx,BOP,1411,1411,0,4,0,4,IDX WT %: Replaced 4 zeros with median (0.44)
kse100_daily_data_sep_companies.xlsx,BWCL,557,557,0,1,0,1,"VOLUME: Replaced 1 zeros with median (12,355)"
kse100_daily_data_sep_companies.xlsx,BYCO,482,482,0,4,0,4,IDX WT %: Replaced 4 zeros with median (0.27)
kse100_daily_data_sep_companies.xlsx,CEPB,847,847,0,8,0,8,"VOLUME: Replaced 4 zeros with median (113,500); IDX WT %: Replaced 4 zeros with median (0.27)"
